model,label,no_trade_mean,no_trade_std,winning_ratio_mean,winning_ratio_std,profit_average_mean,profit_average_std,loss_average_mean,loss_average_std,payoff_ratio_mean,payoff_ratio_std,profit_factor_mean,profit_factor_std,final_cumulative_profit_mean,final_cumulative_profit_std,final_cumulative_return_mean,final_cumulative_return_std,MaxDrawdown_mean,MaxDrawdown_std,MaxDrawdown_rate_mean,MaxDrawdown_rate_std
1D-CNN,Signal_origin,107.9,9.319,0.517,0.041,5.022,3.861,-5.218,4.561,1.038,0.26,1.138,0.405,7.248,129.779,15.744,61.441,-88.25,108.273,-42.86,25.475
1D-CNN,Signal_trend,71.433,9.243,0.534,0.043,6.048,4.624,-5.983,5.326,1.087,0.305,1.249,0.352,31.346,64.847,26.725,40.739,-75.049,84.335,-37.439,19.091
Cross_Multi_Modal,Signal_origin,100.267,23.27,0.524,0.046,5.52,4.795,-5.062,4.327,1.114,0.305,1.25,0.427,42.989,124.269,30.546,55.246,-79.5,90.428,-41.196,21.55
Cross_Multi_Modal,Signal_trend,97.833,17.866,0.523,0.045,5.225,3.87,-5.267,4.122,1.025,0.185,1.143,0.28,18.414,76.503,22.247,44.814,-76.958,77.336,-40.778,17.861
Cross_exclude_120,Signal_origin,86.733,10.225,0.525,0.053,5.525,4.41,-5.592,4.947,1.077,0.26,1.219,0.386,22.207,105.872,25.315,51.777,-84.557,104.002,-39.603,20.357
Cross_exclude_120,Signal_trend,85.067,13.948,0.521,0.058,5.756,4.804,-5.655,4.798,1.084,0.242,1.212,0.4,21.576,101.989,26.716,51.26,-88.767,105.553,-41.559,21.363
Cross_exclude_20,Signal_origin,95.133,18.311,0.525,0.05,5.454,4.488,-5.413,4.672,1.087,0.244,1.215,0.347,31.524,109.038,26.248,45.863,-82.359,90.131,-40.493,22.736
Cross_exclude_20,Signal_trend,86.633,11.895,0.518,0.057,5.618,4.752,-5.726,5.109,1.04,0.22,1.156,0.419,16.021,102.476,17.68,50.434,-87.25,94.458,-44.009,21.302
Cross_exclude_5,Signal_origin,134.867,44.804,0.513,0.044,4.686,4.009,-4.483,4.076,1.081,0.213,1.164,0.371,5.5,84.692,17.531,44.137,-88.912,101.209,-43.374,26.008
Cross_exclude_5,Signal_trend,109.167,28.548,0.522,0.045,4.935,3.929,-4.493,3.71,1.116,0.185,1.24,0.312,31.319,58.931,30.6,50.832,-84.174,92.762,-40.46,18.829
Cross_exclude_60,Signal_origin,94.7,12.842,0.523,0.052,5.38,4.333,-5.544,5.001,1.06,0.257,1.18,0.364,26.026,106.725,22.099,47.737,-85.637,97.666,-42.757,24.062
Cross_exclude_60,Signal_trend,86.4,10.588,0.523,0.051,5.621,4.843,-5.474,4.609,1.057,0.241,1.197,0.434,25.942,117.223,21.948,52.003,-80.896,84.284,-40.966,19.584
Cross_single_120,Signal_origin,119.1,45.148,0.505,0.045,5.023,4.213,-4.627,3.573,1.18,0.615,1.256,0.893,12.916,71.403,14.102,46.148,-84.783,83.945,-42.891,20.36
Cross_single_120,Signal_trend,122.133,42.967,0.521,0.055,4.656,3.415,-4.466,3.446,1.16,0.787,1.607,2.884,11.01,83.721,19.123,65.761,-86.515,97.884,-40.93,21.955
Cross_single_20,Signal_origin,118.833,49.237,0.516,0.046,4.643,4.266,-4.345,3.494,1.05,0.279,1.133,0.328,25.077,96.294,16.991,40.608,-82.461,89.986,-43.348,23.014
Cross_single_20,Signal_trend,130.4,49.029,0.514,0.047,4.626,3.585,-4.422,3.654,1.067,0.219,1.136,0.262,22.408,92.683,19.236,52.226,-84.84,87.007,-44.493,26.501
Cross_single_5,Signal_origin,91.3,10.021,0.517,0.047,5.331,4.151,-5.299,4.255,1.081,0.279,1.168,0.345,29.536,121.696,22.724,53.011,-79.751,77.537,-42.264,18.196
Cross_single_5,Signal_trend,90.967,11.556,0.516,0.044,5.517,4.394,-5.308,4.081,1.055,0.292,1.122,0.27,19.949,78.82,17.176,41.067,-72.163,64.393,-40.005,16.846
Cross_single_60,Signal_origin,135.3,50.96,0.516,0.039,4.83,4.24,-4.449,3.954,1.104,0.28,1.196,0.399,26.393,113.451,17.217,42.143,-78.159,88.78,-40.532,26.094
Cross_single_60,Signal_trend,106.567,41.046,0.512,0.052,4.937,4.167,-4.499,3.884,1.108,0.239,1.186,0.431,37.505,82.042,18.812,35.998,-68.132,82.896,-38.757,27.81
GRU,Signal_origin,77.633,13.665,0.538,0.052,5.581,4.08,-5.805,5.311,1.053,0.26,1.25,0.419,30.364,94.278,24.854,48.114,-80.934,101.289,-41.628,25.48
GRU,Signal_trend,44.733,7.455,0.547,0.073,7.821,6.133,-7.589,6.945,1.161,0.44,1.428,0.56,35.264,72.376,27.894,44.424,-67.43,87.732,-34.967,23.307
LSTM,Signal_origin,78.4,9.042,0.529,0.048,5.711,4.319,-5.642,4.502,1.056,0.243,1.201,0.327,18.61,85.423,25.073,54.431,-73.864,81.639,-38.112,24.4
LSTM,Signal_trend,49.767,6.771,0.551,0.059,7.181,5.718,-7.165,6.569,1.111,0.376,1.39,0.544,34.646,80.233,26.095,43.197,-69.099,87.666,-35.526,26.659
Self_Multi_Modal,Signal_origin,88.567,14.755,0.524,0.049,5.679,4.555,-5.519,4.392,1.061,0.225,1.186,0.326,23.324,89.743,22.481,50.386,-80.532,80.91,-40.921,19.672
Self_Multi_Modal,Signal_trend,93.1,16.647,0.512,0.05,5.315,4.209,-5.265,4.269,1.053,0.238,1.12,0.298,10.517,82.42,18.902,54.318,-80.579,82.072,-41.115,18.552
Self_only_IMG,Signal_origin,101.867,22.254,0.523,0.051,5.623,5.023,-5.368,4.692,1.052,0.22,1.178,0.376,44.9,118.333,22.295,42.93,-75.986,75.603,-42.33,28.543
Self_only_IMG,Signal_trend,101.933,18.903,0.51,0.04,5.365,4.398,-5.143,4.352,1.059,0.204,1.111,0.254,21.185,65.83,15.93,33.507,-77.866,78.215,-44.564,32.424
Self_only_TA,Signal_origin,94.6,54.111,0.533,0.052,6.408,7.622,-8.409,17.251,1.045,0.34,1.176,0.337,11.908,80.106,16.384,40.666,-81.62,101.585,-41.417,27.851
Self_only_TA,Signal_trend,73.233,53.595,0.519,0.049,7.808,6.803,-7.067,6.585,1.187,0.384,1.29,0.464,28.007,85.666,27.054,56.712,-80.379,105.45,-39.279,22.691
TCN,Signal_origin,156.267,10.359,0.516,0.032,4.287,3.48,-4.064,3.103,1.039,0.246,1.109,0.257,38.544,114.386,20.428,51.583,-72.799,71.176,-40.287,22.564
TCN,Signal_trend,71.4,6.42,0.541,0.038,6.344,5.147,-6.386,5.275,1.016,0.255,1.209,0.336,36.181,84.933,23.005,43.744,-68.78,72.742,-36.953,19.196
Transformer,Signal_origin,18.6,4.938,0.608,0.117,11.751,9.241,-12.489,17.749,1.579,1.312,3.197,4.308,43.752,112.909,36.247,61.487,-62.586,94.689,-30.911,29.899
Transformer,Signal_trend,14.7,3.186,0.6,0.094,14.685,13.492,-11.122,10.127,1.54,0.986,2.519,1.967,60.48,77.762,40.046,61.858,-43.292,48.641,-24.764,19.013
